subjID:,Test2
Condition:,TH ~ Take Home
Trial #:,1
Date:,"=""06-05-2026"""
Experiment Time:,"=""10:44:05 PM"""
Treadmill Speed:,
Preferred Stiffness (N/mm):,N/A

Round #,Start Time,End Time,Subject Bid,Human Won,Robo 1 Bid,Robo 2 Bid,Lowest Bid,Vickrey Price,Total Winnings,Distance
,,,$,,$,$,$,$,$,m
0,"=""10:44:12 PM""","=""10:44:12 PM""",0.01,True,0.44,0.4,0.01,0.4,0.4,
1,"=""10:46:33 PM""","=""10:47:33 PM""",0.1,True,0.44,0.4,0.1,0.4,0.8,
2,"=""10:49:54 PM""","=""10:50:54 PM""",0.43,False,0.44,0.4,0.4,0.43,0.8,
3,"=""10:53:16 PM""","=""10:54:16 PM""",1.0,False,0.44,0.43,0.43,0.44,0.8,
4,"=""10:56:37 PM""","=""10:57:37 PM""",1.0,False,0.44,0.45,0.44,0.45,0.8,
5,"=""10:59:58 PM""","=""11:00:58 PM""",0.7,False,0.52,0.45,0.45,0.52,0.8,
6,"=""11:03:19 PM""","=""11:04:19 PM""",0.8,False,0.52,0.57,0.52,0.57,0.8,
7,"=""11:06:41 PM""","=""11:07:41 PM""",0.8,False,0.59,0.57,0.57,0.59,0.8,
8,"=""11:10:02 PM""","=""11:11:02 PM""",0.9,False,0.59,0.61,0.59,0.61,0.8,
9,"=""11:13:23 PM""","=""11:14:23 PM""",1.0,False,0.62,0.61,0.61,0.62,0.8,
10,"=""11:16:44 PM""","=""11:17:44 PM""",2.0,False,0.62,0.76,0.62,0.76,0.8,
11,"=""11:20:05 PM""","=""11:21:06 PM""",1.5,False,0.72,0.76,0.72,0.76,0.8,
12,"=""11:23:27 PM""","=""11:24:27 PM""",1.5,False,0.78,0.76,0.76,0.78,0.8,
13,"=""11:26:48 PM""","=""11:27:48 PM""",1.55,False,0.78,0.87,0.78,0.87,0.8,
14,"=""11:30:09 PM""","=""11:31:10 PM""",1.56,False,0.79,0.87,0.79,0.87,0.8,
15,"=""11:33:31 PM""","=""11:34:31 PM""",1.56,False,0.98,0.87,0.87,0.98,0.8,
16,"=""11:36:52 PM""","=""11:37:52 PM""",1.73,False,0.98,0.93,0.93,0.98,0.8,
