subjID:,test3
Condition:,TH ~ Take Home
Trial #:,1
Date:,"=""06-05-2026"""
Experiment Time:,"=""12:15:34 AM"""
Treadmill Speed:,
Preferred Stiffness (N/mm):,N/A

Round #,Start Time,End Time,Subject Bid,Human Won,Robo 1 Bid,Robo 2 Bid,Lowest Bid,Vickrey Price,Total Winnings,Distance
,,,$,,$,$,$,$,$,m
0,"=""12:15:37 AM""","=""12:15:37 AM""",0.12,True,0.44,0.45,0.12,0.44,0.44,
1,"=""12:17:59 AM""","=""12:18:59 AM""",0.24,True,0.44,0.45,0.24,0.44,0.88,
2,"=""12:21:20 AM""","=""12:22:20 AM""",0.45,False,0.44,0.45,0.44,0.45,0.88,
3,"=""12:24:41 AM""","=""12:25:41 AM""",0.55,False,0.49,0.45,0.45,0.49,0.88,
4,"=""12:28:02 AM""","=""12:29:02 AM""",0.68,False,0.49,0.49,0.49,0.49,0.88,
5,"=""12:31:24 AM""","=""12:32:24 AM""",0.77,False,0.55,0.55,0.55,0.55,0.88,
6,"=""12:34:45 AM""","=""12:35:45 AM""",0.8,False,0.62,0.62,0.62,0.62,0.88,
7,"=""12:38:06 AM""","=""12:39:06 AM""",1.0,False,0.7,0.7,0.7,0.7,0.88,
8,"=""12:41:27 AM""","=""12:42:27 AM""",1.12,False,0.78,0.78,0.78,0.78,0.88,
9,"=""12:44:49 AM""","=""12:45:49 AM""",1.25,False,0.88,0.88,0.88,0.88,0.88,
10,"=""12:48:10 AM""","=""12:49:10 AM""",1.12,False,0.98,0.98,0.98,0.98,0.88,
11,"=""12:51:31 AM""","=""12:52:31 AM""",1.23,False,1.1,1.1,1.1,1.1,0.88,
12,"=""12:54:53 AM""","=""12:55:53 AM""",1.32,False,1.23,1.23,1.23,1.23,0.88,
